Predicted,Actual
2227.532,2261.37
1746.9470000000001,1736.48
1370.78,1353.63
3691.989,3606.3
4357.9619999999995,4400.32
814.486,796.72
14764.210000000001,15295.87
2101.3280000000004,2047.17
5466.952,5303.92
2025.8580000000002,2013.41
3125.7680000000005,3110.99
6293.522999999999,6224.83
1955.0539999999996,1960.23
1836.7429999999997,1806.42
787.782,760.06
2640.922,2587.18
4945.466000000001,4947.97
2528.6020000000003,2583.68
621.384,637.58
1177.622,1172.93
1581.8639999999998,1589.08
20311.154000000002,19574.91
1970.032,1973.43
1863.684,1873.57
998.0049999999999,1006.63
1570.351,1573.67
4174.879000000001,4008.46
3944.6809999999996,3860.48
5482.961,5408.38
742.105,719.46
1853.5009999999997,1865.07
4669.338000000001,4697.91
1713.5790000000002,1755.06
3364.879,3280.33
7018.32,7003.26
3829.382,3781.39
5090.837,5062.35
5977.356000000001,6024.34
2789.237,2762.52
3800.7759999999994,3892.41
4494.903,4448.8
1837.5190000000002,1834.29
19697.894,20050.09
1300.592,1355.87
37088.144,46643.39
4558.527,4573.57
1775.934,1826.33
592.3439999999999,612.62
2335.8,2287.56
1946.188,1947.21
2485.157,2442.85
543.546,561.05
2639.4519999999998,2641.78
7351.428999999999,7340.68
208.93099999999998,206.87
3424.619,3422.28
1992.6529999999998,1988.02
1622.791,1674.41
2559.746,2523.08
4857.159000000001,4917.5
1302.345,1276.86
1998.4689999999998,2020.89
2061.9190000000003,2043.02
3201.1820000000002,3218.77
7093.985000000001,7066.2
9285.645999999999,9371.11
1445.347,1448.93
5448.590999999999,5446.75
3109.518,3052.8
1214.641,1250.08
2873.585,2866.56
6283.158000000001,6163.7
5774.782000000001,5700.15
30965.982999999997,31569.51
1828.7870000000003,1835.58
2056.425,2072.71
389.04799999999994,404.47
1863.3290000000002,1852.75
2341.682,2300.84
2255.907,2261.48
2683.403,2720.63
1468.1829999999998,1460.54
4358.3189999999995,4053.58
17898.248000000003,17834.16
1888.0789999999997,1883.24
2101.6490000000003,2116.66
2303.716,2356.55
590.473,602.4
4243.282000000001,4256.23
7742.008000000002,7762.71
381.806,375.07
1110.9599999999998,1125.27
2578.239,2589.76
1760.738,1803.31
13800.715,13328.52
2072.136,2029.35
7524.8049999999985,7205.7
140.486,37.04
2551.281,2529.82
4617.268999999999,4605.77
4240.402,4014.1
